000000179898.jpg,"เด็กชายหนุ่มที่ถือฮอตด็อกไว้ในกระเป๋า","a young boy holding a hot dog in a bun "
000000568213.jpg,"ชายสองคนเล่นฟริสบี้บนสนามหญ้า","two men playing frisbee on a grassy field "
000000405306.jpg,"แมวที่นอนอยู่บนเตียง","a cat laying on top of a bed "
000000572517.jpg,"หมีขั้วโลกยืนอยู่บนก้อนหิน ริมทะเลสาบ","a polar bear standing on top of a rock next to a pond "
000000453302.jpg,"ห้องครัวพร้อมกับตู้เย็น มิคโรเวฟ ช่างน้ําและเครื่องซักจาน ","a kitchen with a refrigerator, microwave, sink and dishwasher "
000000320425.jpg,"จิราฟ่ายืนอยู่ในพื้นที่ที่ล้ํารั้ว","giraffes are standing in a fenced area "
000000347456.jpg,"ช้างสองตัวยืนอยู่บนสนามหญ้าข้างต้นไม้","two elephants standing in a grassy field next to trees "
000000106389.jpg,"แมวที่นั่งอยู่บนเก้าอี้ในห้อง","a cat sitting on top of a chair in a room "
000000091500.jpg,"ผู้ชายที่นั่งนั่งเล่นเกมวีดีโอ","a man sitting in a chair playing a video game "
000000360951.jpg,"โต๊ะทํางานของคอมพิวเตอร์ที่มีจอสองตัว และคอมพิวเตอร์เล็ตป๊อต","a computer desk with two monitors and a laptop "
000000025139.jpg,"เซเบร่าที่ยืนอยู่ข้างๆ ตั้วไม้","a zebra standing next to a wooden fence "
000000129062.jpg,"ร้านอาหารที่มีเครื่องหมายสีเนออนอยู่ด้านข้าง","a restaurant with a neon sign on the side "
000000526103.jpg,"ช้างขนาดใหญ่ยืนอยู่ข้างหน้าเครื่องหมาย","a large elephant standing next to a sign "
000000039480.jpg,"ผู้หญิงที่ถือกระสุนเทนนิสอยู่บนสนามฟุตบอล","a woman holding a tennis racquet on a court "
000000500663.jpg,"ม้าเลี้ยงที่สนามใกล้กับป่า","horses graze in a field near a forest "
000000292908.jpg,"คนที่นั่งบนโต๊ะเซอร์ฟ์บนน้ํา","a person riding a surfboard on top of a body of water "
000000475191.jpg,"นักเตะเทนนิสหญิงที่กําลังดําเนินการในสนาม","a female tennis player in action on the court "
000000471893.jpg,"ชายกับผู้หญิงเล่นเกมวีดีโอ","a man and woman playing a video game "
000000410612.jpg,"เรือสีแดงและสีขาวอยู่ในน้ําใกล้บ้าน","a red and white boat in the water near a house "
000000281414.jpg,"ผู้หญิงที่นั่งบนผนังอิฐ ใช้โทรศัพท์มือถือ","a woman sitting on a brick wall using a cell phone "
000000485895.jpg,"จิราฟ 2 ตัว และ เซเบร่า 1 ตัว ในพื้นที่ที่มีหญ้า","two giraffes and a zebra in a grassy area "
000000061333.jpg,"แมวที่นอนอยู่บนเตียงข้างหนังสือ","a cat laying on top of a bed next to a book "
000000009590.jpg,"คนที่นั่งอยู่รอบโต๊ะไม้ กิน","people sitting around a wooden table eating "
000000412887.jpg,"หัวสีน้ําตาลและสีขาวมองกล้อง","a brown and white cow looking at the camera "
000000072795.jpg,"กลุ่มคนดูเกมเบสบอลที่เล่น","a crowd of people watching a baseball game being played "
000000416837.jpg,"ม้าที่ขี่บนสนามหญ้าที่มีภูเขา","a horse grazing in a grassy field with mountains "
000000091495.jpg,"นักพนันเบสบอลที่เลื่อนเข้าไปในฐาน ขณะที่นักพนันอีกคนหนึ่งดู","a baseball player sliding into a base while another player watches "
000000397303.jpg,"ชายยืนอยู่ข้างหน้าผู้หญิงที่ร้าน","a man standing next to a woman at a booth "
000000003845.jpg,"จานอาหารที่มีข้าวและผัก","a plate of food with rice and vegetables "
000000386879.jpg,"ผู้หญิงสาวสวยงาม จับร็อคเทนนิส","a beautiful young lady holding a tennis racket "
000000058029.jpg,"ห้องน้ํา พร้อมห้องน้ํา น้ําซักรีด กระจก และอาบน้ํา","a bathroom with a toilet, sink, mirror and shower "
000000400794.jpg,"ชายที่นั่งอยู่บนโต๊ะกับแซนวิช","a man sitting at a table with a sandwich "
000000183716.jpg,"เด็กๆสองคนใส่เกรียตและถ่ายรูป","two young children are wearing ties and posing for a photo "
000000191614.jpg,"สองม้ากําลังวิ่งอยู่ในสนาม","two horses are running in a field "
000000389804.jpg,"ห้องน้ําสีขาว ที่นั่งอยู่ข้างถ้วยน้ําในห้องน้ํา","a white toilet sitting next to a sink in a bathroom "
000000537153.jpg,"คนที่นั่งบนเก้าอี้ที่มองหามหาสมุทร","a person sitting on a bench overlooking the ocean "
000000054593.jpg,"เด็กชายในชุดเบสบอลที่โยนไม้ตีกับลูกบอล","a boy in a baseball uniform swinging a bat at a ball "
000000542127.jpg,"คนที่กระโดดบนแผ่นสโนว์บอร์ดในอากาศ","a person jumping a snowboard in the air "
000000283038.jpg,"สัญลักษณ์ stop ที่มีแกฟฟิตี้อยู่บนมัน","a stop sign with graffiti on it "
000000183104.jpg,"จิราฟสองตัวยืนอยู่ข้างๆกัน ใกล้หน้าต่าง","two giraffes standing next to each other near a window "
